"ID","Task","Session","N.Sessions","Counterbalance","Trial","Stimulus.1","Stimulus.2","Structure","Reversal","Response"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",17,"re_40_M_s_nw_electricity_70","F_s_w_electricity_70","NW",40,"Different"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",18,"re_40_M_s_w_incapable_70","F_s_w_incapable_70","WW",40,"Same"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",19,"re_60_M_s_nw_competition_70","F_s_w_competition_70","NW",60,"Same"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",20,"re_60_M_s_w_appointment_70","F_s_nw_appointment_70","WN",60,"Different"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",21,"re_40_M_s_nw_remarkable_70","F_s_nw_remarkable_70","NN",40,"Same"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",22,"re_60_M_s_w_propaganda_70","F_s_nw_propaganda_70","WN",60,"Same"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",23,"re_40_M_s_nw_department_70","F_s_nw_department_70","NN",40,"Same"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",24,"re_60_M_s_nw_particular_70","F_s_nw_particular_70","NN",60,"Same"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",25,"re_40_M_s_w_acceptable_70","F_s_nw_acceptable_70","WN",40,"Different"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",26,"re_40_M_s_nw_certificate_70","F_s_nw_certificate_70","NN",40,"Same"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",27,"re_60_M_s_w_satisfactory_70","F_s_w_satisfactory_70","WW",60,"Same"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",28,"re_40_M_s_nw_extraordinary_70","F_s_w_extraordinary_70","NW",40,"Different"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",29,"re_40_M_s_nw_predicament_70","F_s_nw_predicament_70","NN",40,"Same"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",30,"re_40_M_s_nw_extraordinary_70","F_s_nw_extraordinary_70","NN",40,"Same"
